ticker,position_type,entry_time,exit_time,entry_price,exit_price,capital_allocated,shares_traded,profit/loss,% of profit/loss,updated_capital
MSTR,long,2024-06-07 13:19:00-04:00,2024-06-07 13:45:00-04:00,167.7,166.139,91185.26633508949,543.7404074841353,-852.5849589351125,-0.9350029815145966,180814.1376144305
CRWD,long,2024-06-10 09:36:00-04:00,2024-06-10 09:40:00-04:00,379.3542,371.976,60271.37920481017,158.87890315913248,-1173.3524756108238,-1.9467821893101467,179640.7851388197
MRNA,short,2024-06-10 11:46:00-04:00,2024-06-10 15:10:00-04:00,147.43,148.5879,60271.37920481017,408.81353323482443,-476.2268848652404,-0.7901376924642094,179164.55825395446
CELH,short,2024-06-10 09:37:00-04:00,2024-06-10 15:55:00-04:00,69.615,65.865,60271.37920481017,865.7815011823626,3240.6201589255834,5.376714788479496,182405.17841288005
COIN,short,2024-06-11 09:36:00-04:00,2024-06-11 10:20:00-04:00,237.66,240.7387,91202.58920644003,383.7523740067324,-1184.1447004725733,-1.2983674156357812,181221.0337124075
JPM,short,2024-06-11 10:58:00-04:00,2024-06-11 15:55:00-04:00,195.25,194.19,91202.58920644003,467.106730890858,491.8633876280745,0.5393085787451996,181712.89710003557
ORCL,long,2024-06-12 09:36:00-04:00,2024-06-12 10:45:00-04:00,138.53,137.14,45428.22427500889,327.930587417952,-458.11903062288377,-1.0084458240092504,181254.77806941268
AFRM,long,2024-06-12 10:22:00-04:00,2024-06-12 10:30:00-04:00,37.84,37.255,45428.22427500889,1200.534468155626,-710.7164051481316,-1.5644820295983106,180544.06166426456
CRWD,short,2024-06-12 11:42:00-04:00,2024-06-12 12:25:00-04:00,384.7,388.5,45428.22427500889,118.08740388616816,-449.55874659464354,-0.9896022874967537,180094.50291766992
VST,short,2024-06-12 09:36:00-04:00,2024-06-12 10:00:00-04:00,90.5,92.44,45428.22427500889,501.96932900562314,-977.3342835739471,-2.151381215469611,179117.16863409596
MSFT,short,2024-06-13 09:43:00-04:00,2024-06-13 15:55:00-04:00,441.13,441.59,89558.58431704798,203.02084264740094,-94.81073351633208,-0.10586448439235134,179022.35790057963
TSM,short,2024-06-13 09:37:00-04:00,2024-06-13 09:45:00-04:00,171.79,173.19,89558.58431704798,521.3259463126374,-733.5056064618838,-0.8190232260317863,178288.85229411777
CRWD,long,2024-06-14 09:43:00-04:00,2024-06-14 15:55:00-04:00,382.24,385.61,178288.85229411777,466.4316981323717,1568.6098008191682,0.8798137295939735,179857.46209493693
TSM,short,2024-06-17 09:36:00-04:00,2024-06-17 15:55:00-04:00,177.31,177.75,44964.36552373423,253.59181954618595,-113.35554333714454,-0.25210084033613317,179744.10655159978
META,short,2024-06-17 09:45:00-04:00,2024-06-17 12:45:00-04:00,498.24,502.925,44964.36552373423,90.24639836972992,-423.43610115077297,-0.9417148362235072,179320.670450449
TSLA,long,2024-06-17 09:38:00-04:00,2024-06-17 15:55:00-04:00,180.24,188.11,44964.36552373423,249.46940481432662,1961.5779300550514,4.362516644474037,181282.24838050405
MSFT,short,2024-06-17 11:13:00-04:00,2024-06-17 13:00:00-04:00,443.68,447.13,44964.36552373423,101.3441343394659,-350.34667241153244,-0.7791651640822188,180931.9017080925
MU,long,2024-06-18 09:49:00-04:00,2024-06-18 13:25:00-04:00,154.31,153.07,90465.95085404626,586.2611033247764,-731.0675958460015,-0.8081135376838889,180200.83411224652
ARM,long,2024-06-18 09:40:00-04:00,2024-06-18 09:45:00-04:00,161.7984,159.57,90465.95085404626,559.127598629197,-1249.8738339757033,-1.381595862505435,178950.96027827082
MU,short,2024-06-20 09:40:00-04:00,2024-06-20 09:40:00-04:00,151.6958,153.33,35790.192055654166,235.9339682156933,-387.2148286356009,-1.0819020698002328,178563.74544963523
ARM,short,2024-06-20 09:36:00-04:00,2024-06-20 09:35:00-04:00,167.68,169.83,35790.192055654166,213.44341636244135,-460.39744909378726,-1.2863788167938965,178103.34800054145
